wavelength, species, priority
4341.665, HI, 313.0
4341.7231, HI, 2020.0
4341.7241, HI, 225.0
4341.729, HI, 958.0
4360.3652, Fe IX, 10.9
4362.7041, S III, 1.65
4364.436, O III, 14.0
4389.1699, He I, 124.0
4414.4258, Ar XIV, 133.0
4438.8081, He I, 83.8
4472.7329, He I, 17.9
4472.7368, He I, 1450.0
4472.7368, He I, 253.0
4472.749, He I, 270.0
4472.752, He I, 756.0
4472.9458, He I, 357.0
4482.3828, Mg II, 13.0
4482.582, Mg II, 9.11
4553.8882, Si III, 341.0
4567.4697, Fe XI, 1.42
4569.1201, Si III, 180.0
4576.0391, Si III, 66.0
4588.5537, Fe IX, 2.77
4625.5688, K XVI, 1.48
4635.4238, N III, 1.51
4641.9438, N III, 1.39
4648.7202, C III, 1330.0
4651.5479, C III, 789.0
4652.7759, C III, 267.0
4664.3511, Al II, 57.7
4686.6958, He II, 121.0
4686.7241, He II, 55.4
4686.8472, He II, 94.1
4686.8892, He II, 27.7
4687.0259, He II, 304.0
4687.0259, He II, 217.0
4687.0742, He II, 24.1
4687.1289, He II, 429.0
4687.1558, He II, 21.7
4687.2041, He II, 5.65
4687.2251, He II, 188.0
4687.2388, He II, 3.14
4714.4658, He I, 172.0
4714.4829, He I, 103.0
4714.7031, He I, 34.4
4715.5479, Ne IV, 1.16
4725.4868, Ne IV, 1.28
4739.2998, C II, 1.43
4746.1021, C II, 3.03
4750.1514, Ni XVII, 28.3
4804.0742, S III, 1.94
4862.645, HI, 2590.0
4862.6519, HI, 1290.0
4862.6558, HI, 1130.0
4862.6641, HI, 647.0
4862.729, HI, 3920.0
4862.7319, HI, 517.0
4862.7432, HI, 2270.0
4896.4912, N II, 34.0
4923.314, He I, 526.0
4925.4941, S II, 13.6
4926.7271, S II, 11.8
4943.8618, S II, 2.05
4993.3711, S II, 3.27
5008.2402, O III, 1.27
5010.9731, S II, 8.33
5017.0859, He I, 50.5
5028.605, S II, 13.9
5033.8472, S II, 19.1
5042.4312, Si II, 30.7
5049.1548, He I, 243.0
5057.394, Si II, 55.7
5057.7271, Si II, 6.1
5104.7642, S II, 11.6
5117.2451, Ni XIII, 24.2
5143.7549, S II, 6.48
5161.541, S III, 10.3
5220.7959, S III, 9.74
5278.4341, K XII, 1.41
5304.4868, Fe XIV, 794.0
5371.0981, S III, 2.67
5430.1738, S II, 6.72
5434.3169, S II, 17.6
5446.04, Ca XV, 206.0
5455.3809, S II, 158.0
5475.145, S II, 7.19
5511.2461, S II, 10.4
5527.7891, S II, 9.16
5535.5591, Ar X, 9.8
5538.939, Fe X, 1.24
5557.5762, S II, 1.16
5566.5132, S II, 9.74
5580.4302, S II, 2.51
5593.8091, O III, 19.7
5607.7178, S II, 67.9
5618.2021, S II, 1.84
5641.9219, S II, 10.8
5661.582, S II, 7.06
5666.356, S II, 4.26
5668.2109, N II, 21.4
5677.604, N II, 9.5
5681.1431, N II, 39.0
5687.8018, N II, 6.84
5696.3931, Ca XV, 401.0
5697.4932, C III, 3.12
5712.3579, N II, 6.56
5741.3271, Si III, 21.3
5877.2378, He I, 105.0
5877.2529, He I, 1380.0
5877.2539, He I, 8550.0
5877.2642, He I, 1570.0
5877.2798, He I, 4140.0
5877.606, He I, 2100.0
